"pathway"	"overlap_size"	"pathway_size"	"p.value"	"EID"	"massfeature_rows"	"adduct"	"compound_id"	"compound_annotation"	"m.z"	"retention_time"	"p_value"	"statistic"
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E1093"	"row175"	"M-H[-]"	"C00792;C00062"	"D-Arginine; D-2-Amino-5-guanidinovaleric acid$L-Arginine; (S)-2-Amino-5-guanidinovaleric acid"	173.1044549	30.79739158	0.0038514	4.0181
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Vitamin B3 (nicotinate and nicotinamide) metabolism"	"4"	"7"	"0.0745203821817"	"E401"	"row18"	"M-H[-]"	"C00819;C00064;C05100"	"D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate"	145.0619385	40.61093146	5.38e-06	10.626
"Pentose and Glucuronate Interconversions"	"3"	"5"	"0.0950496214318"	"E850"	"row567"	"M-H[-]"	"C00532;C00379"	"L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol$Xylitol"	151.0626253	23.79447278	0.047994	2.3322
"Pentose and Glucuronate Interconversions"	"3"	"5"	"0.0950496214318"	"E59"	"row500"	"M-H2O-H[-]"	"C00532;C00379"	"L-Arabitol; L-Arabinol; L-Arabinitol; L-Lyxitol$Xylitol"	133.0506867	19.88892458	0.03498	-2.535
"Pentose and Glucuronate Interconversions"	"3"	"5"	"0.0950496214318"	"E934"	"row36"	"M-H[-]"	"C16360;C00257;C16356;C00800"	"$D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid$1,7-Dimethyluric acid$L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid"	195.0510164	26.5452708	6.13e-05	7.6308
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E872"	"row159"	"M-H[-]"	"C00135"	"L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid"	154.0623416	25.37804809	0.0030075	4.1973
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E872"	"row446"	"M-H2O-H[-]"	"C00135"	"L-Histidine; (S)-alpha-Amino-1H-imidazole-4-propionic acid"	136.0518048	24.94847405	0.02893	2.6572
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Histidine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E438"	"row121"	"M-H[-]"	"C00302"	"DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Methionine and cysteine metabolism"	"4"	"8"	"0.114074671641"	"E438"	"row1517"	"M+Na-2H[-]"	"C00302"	"DL-Glutamate; DL-Glutaminic acid; 2-Aminoglutaric acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Di-unsaturated fatty acid beta-oxidation"	"2"	"3"	"0.12455357518"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Di-unsaturated fatty acid beta-oxidation"	"2"	"3"	"0.12455357518"	"E49"	"row2513"	"M+CH3COO[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	339.2538162	237.4939998	0.74444	-0.33748
"Di-unsaturated fatty acid beta-oxidation"	"2"	"3"	"0.12455357518"	"E49"	"row68"	"M+HCOO[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	325.2383039	239.1470638	0.0003292	5.984
"Di-unsaturated fatty acid beta-oxidation"	"2"	"3"	"0.12455357518"	"E49"	"row72"	"M-H[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	279.2330236	241.4667126	0.00041523	5.7785
"Di-unsaturated fatty acid beta-oxidation"	"2"	"3"	"0.12455357518"	"E49"	"row99"	"M(C13)-H[-]"	"C01595"	"Linoleate; Linoleic acid; (9Z,12Z)-Octadecadienoic acid; 9-cis,12-cis-Octadecadienoate; 9-cis,12-cis-Octadecadienoic acid"	280.2363594	235.4728329	0.00097156	5.0645
"Vitamin B9 (folate) metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Vitamin B9 (folate) metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Vitamin B9 (folate) metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Vitamin B9 (folate) metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Vitamin B9 (folate) metabolism"	"2"	"3"	"0.12455357518"	"E685"	"row107"	"M-H[-]"	"C05520;C01045;C01042"	"2-Amino-3-oxoadipate; 2-Amino-3-oxohexanedioic acid$N-Formyl-L-glutamate$N-Acetyl-L-aspartate"	174.0407701	26.89104664	0.0010659	4.9901
"Biopterin metabolism"	"2"	"3"	"0.12455357518"	"E864"	"row16"	"M-H[-]"	"C00079;CE2172"	"L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$"	164.0717716	25.804745	3.73e-06	11.155
"Biopterin metabolism"	"2"	"3"	"0.12455357518"	"E864"	"row319"	"M-H+O[-]"	"C00079;CE2172"	"L-Phenylalanine; (S)-alpha-Amino-beta-phenylpropionic acid$"	180.066722	25.19717718	0.014836	3.0924
"Biopterin metabolism"	"2"	"3"	"0.12455357518"	"E376"	"row319"	"M-H[-]"	"C00082;CE2174"	"L-Tyrosine; (S)-3-(p-Hydroxyphenyl)alanine; (S)-2-Amino-3-(p-hydroxyphenyl)propionic acid; Tyrosine$"	180.066722	25.19717718	0.014836	3.0924
"Glutathione Metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Glutathione Metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Glutathione Metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Glutathione Metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Glutathione Metabolism"	"2"	"3"	"0.12455357518"	"E863"	"row77"	"M-H[-]"	"C04281;C04282;C02238;C01879"	"L-1-Pyrroline-3-hydroxy-5-carboxylate; 3-Hydroxy-L-1-pyrroline-5-carboxylate; (3R,5S)-1-Pyrroline-3-hydroxy-5-carboxylate$1-Pyrroline-4-hydroxy-2-carboxylate$5-Oxo-L-proline$5-Oxoproline; Pyroglutamic acid; 5-Pyrrolidone-2-carboxylic acid; Pyroglutamate; 5-Oxo-L-proline; L-Pyroglutamic acid; L-5-Pyrrolidone-2-carboxylic acid"	128.0353529	23.20356828	0.00055748	5.5244
"Nitrogen metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Nitrogen metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Nitrogen metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Nitrogen metabolism"	"2"	"3"	"0.12455357518"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Nitrogen metabolism"	"2"	"3"	"0.12455357518"	"E401"	"row18"	"M-H[-]"	"C00819;C00064;C05100"	"D-Glutamine; D-2-Aminoglutaramic acid$L-Glutamine; L-2-Aminoglutaramic acid$3-Ureidoisobutyrate"	145.0619385	40.61093146	5.38e-06	10.626
"Omega-6 fatty acid metabolism"	"2"	"3"	"0.12455357518"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Omega-6 fatty acid metabolism"	"2"	"3"	"0.12455357518"	"E1096"	"row187"	"M+HCOO[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	349.2380597	231.8758449	0.0044176	3.9201
"Omega-6 fatty acid metabolism"	"2"	"3"	"0.12455357518"	"E1096"	"row474"	"M(C13)-H[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	304.236483	232.0078379	0.031528	2.6018
"Omega-6 fatty acid metabolism"	"2"	"3"	"0.12455357518"	"E1096"	"row494"	"M-H[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	303.232868	233.6653217	0.034299	2.5477
"Omega-6 fatty acid metabolism"	"2"	"3"	"0.12455357518"	"E1096"	"row601"	"M+Cl37[-]"	"C00219"	"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid; Arachidonate; Arachidonic acid; cis-5,8,11,14-Eicosatetraenoic acid"	341.206612	232.7480931	0.054165	-2.2547
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E197"	"row272"	"M-H[-]"	"C00362;C00020"	"dGMP; 2'-Deoxyguanosine 5'-monophosphate; 2'-Deoxyguanosine 5'-phosphate; Deoxyguanylic acid; Deoxyguanosine monophosphate$AMP; Adenosine 5'-monophosphate; Adenylic acid; Adenylate; 5'-AMP; 5'-Adenylic acid; 5'-Adenosine monophosphate; Adenosine 5'-phosphate"	346.0557627	26.6509643	0.0096981	3.3761
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E782"	"row90"	"M-H[-]"	"C00078;C00525"	"L-Tryptophan; Tryptophan; (S)-alpha-Amino-beta-(3-indolyl)-propionic acid$D-Tryptophan"	203.0827764	25.17815492	0.00076567	5.2587
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E21"	"row121"	"M-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	146.0459596	24.31365546	0.0013885	4.7812
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E21"	"row1517"	"M+Na-2H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	167.0210459	22.51308447	0.30444	1.0973
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E21"	"row29"	"M(C13)-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	147.0493323	21.09322589	4.37e-05	7.9992
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E21"	"row77"	"M-H2O-H[-]"	"C00217;C05938;C00025"	"D-Glutamate; D-Glutamic acid; D-Glutaminic acid; D-2-Aminoglutaric acid$L-4-Hydroxyglutamate semialdehyde$L-Glutamate; L-Glutamic acid; L-Glutaminic acid; Glutamate"	128.0353529	23.20356828	0.00055748	5.5244
"Tryptophan metabolism"	"5"	"11"	"0.126545155083"	"E985"	"row59"	"M-H[-]"	"C00108"	"Anthranilate; Anthranilic acid; o-Aminobenzoic acid; Vitamin L1; 2-Aminobenzoate"	136.0403757	40.59815057	0.00021063	6.3933
"Ascorbate (Vitamin C) and Aldarate Metabolism"	"5"	"11"	"0.126545155083"	"E781"	"row397"	"M-H[-]"	"C00311;C00158;C04575"	"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid$Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid$"	191.0198298	35.40274945	0.02312	2.8022
"Ascorbate (Vitamin C) and Aldarate Metabolism"	"5"	"11"	"0.126545155083"	"E781"	"row836"	"M(C13)-H[-]"	"C00311;C00158;C04575"	"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid$Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid$"	192.023226	34.83635241	0.11024	1.7959
"Ascorbate (Vitamin C) and Aldarate Metabolism"	"5"	"11"	"0.126545155083"	"E161"	"row397"	"M-H2O-H[-]"	"C00818"	"D-Glucarate; D-Glucaric acid; L-Gularic acid; d-Saccharic acid; D-Glucosaccharic acid"	191.0198298	35.40274945	0.02312	2.8022
"Ascorbate (Vitamin C) and Aldarate Metabolism"	"5"	"11"	"0.126545155083"	"E567"	"row21"	"M-H2O-H[-]"	"C05411;C16353"	"$"	147.0299802	23.50251018	1.09e-05	9.6664
"Ascorbate (Vitamin C) and Aldarate Metabolism"	"5"	"11"	"0.126545155083"	"E843"	"row78"	"M-H[-]"	"C01620;C00262"	"$Hypoxanthine; Purine-6-ol"	135.0300713	38.36337711	0.00061442	5.4421
"Ascorbate (Vitamin C) and Aldarate Metabolism"	"5"	"11"	"0.126545155083"	"E934"	"row36"	"M-H[-]"	"C16360;C00257;C16356;C00800"	"$D-Gluconic acid; D-Gluconate; D-gluco-Hexonic acid$1,7-Dimethyluric acid$L-Gulonate; L-Gulonic acid; Gulonate; Gulonic acid"	195.0510164	26.5452708	6.13e-05	7.6308
"TCA cycle"	"6"	"14"	"0.134729960252"	"E781"	"row397"	"M-H[-]"	"C00311;C00158;C04575"	"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid$Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid$"	191.0198298	35.40274945	0.02312	2.8022
"TCA cycle"	"6"	"14"	"0.134729960252"	"E781"	"row836"	"M(C13)-H[-]"	"C00311;C00158;C04575"	"Isocitrate; Isocitric acid; 1-Hydroxytricarballylic acid; 1-Hydroxypropane-1,2,3-tricarboxylic acid$Citrate; Citric acid; 2-Hydroxy-1,2,3-propanetricarboxylic acid; 2-Hydroxytricarballylic acid$"	192.023226	34.83635241	0.11024	1.7959
"TCA cycle"	"6"	"14"	"0.134729960252"	"E640"	"row108"	"M-H[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	145.0142869	34.16156646	0.0010704	4.9868
"TCA cycle"	"6"	"14"	"0.134729960252"	"E640"	"row397"	"M+HCOO[-]"	"C00026"	"2-Oxoglutarate; Oxoglutaric acid; 2-Ketoglutaric acid; alpha-Ketoglutaric acid"	191.0198298	35.40274945	0.02312	2.8022
"TCA cycle"	"6"	"14"	"0.134729960252"	"E513"	"row541"	"M-H[-]"	"C00248"	"Lipoamide; Thioctic acid amide"	204.053962	26.27720104	0.043445	-2.396
"TCA cycle"	"6"	"14"	"0.134729960252"	"E320"	"row2288"	"M+HCOO[-]"	"C00122"	"Fumarate; Fumaric acid; trans-Butenedioic acid"	161.0091926	24.7036987	0.61063	0.5298
"TCA cycle"	"6"	"14"	"0.134729960252"	"E320"	"row98"	"M-H[-]"	"C00122"	"Fumarate; Fumaric acid; trans-Butenedioic acid"	115.0036865	27.55923006	0.00092107	5.1077
"TCA cycle"	"6"	"14"	"0.134729960252"	"E16"	"row107"	"M+ACN-H[-]"	"C00149"	"(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid"	174.0407701	26.89104664	0.0010659	4.9901
"TCA cycle"	"6"	"14"	"0.134729960252"	"E16"	"row1584"	"M-H+O[-]"	"C00149"	"(S)-Malate; L-Malate; L-Apple acid; L-Malic acid; L-2-Hydroxybutanedioic acid"	149.0091624	32.00850248	0.32305	-1.0531
