pathway	overlap_size	pathway_size	p-value	overlap_EmpiricalCompounds (id)	overlap_features (id)	overlap_features (name)
Pentose phosphate pathway	1	13	0.337860220286	E118	C02965/C05345/C00085/C00103/C02976/C01171/C00636/C00092/C01172/C01177/C03862/C04006/C01097/C01094/C00668/C03546/C00446/C03735/C00275/CE3075	D-Hexose 6-phosphate/beta-D-Fructose 6-phosphate/D-Fructose 6-phosphate; D-Fructose 6-phosphoric acid; Neuberg ester/D-Glucose 1-phosphate; alpha-D-Glucose 1-phosphate; Cori ester; D-Glucose alpha-1-phosphate/Fructose 1-phosphate/alpha-D-Hexose 1-phosphate/D-Mannose 1-phosphate; alpha-D-Mannose 1-phosphate/D-Glucose 6-phosphate; Glucose 6-phosphate; Robison ester/beta-D-Glucose 6-phosphate/Inositol 1-phosphate; myo-Inositol 1-phosphate; 1D-myo-Inositol 1-phosphate; D-myo-Inositol 1-phosphate; 1D-myo-Inositol 1-monophosphate/Dolichyl phosphate D-mannose; Dolichyl D-mannosyl phosphate/1D-myo-Inositol 3-phosphate; D-myo-Inositol 3-phosphate; myo-Inositol 3-phosphate; Inositol 3-phosphate; 1D-myo-Inositol 3-monophosphate; D-myo-Inositol 3-monophosphate; myo-Inositol 3-monophosphate; Inositol 3-monophosphate; 1L-myo-Inositol 1-phosphate; L-myo-Inositol 1-phosphate/D-Tagatose 6-phosphate/D-Fructose 1-phosphate/alpha-D-Glucose 6-phosphate/myo-Inositol 4-phosphate; D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-phosphate; 1D-myo-Inositol 4-monophosphate; Inositol 4-phosphate/alpha-D-Galactose 1-phosphate; alpha-D-Galactopyranose 1-phosphate/alpha-D-Hexose 6-phosphate/D-Mannose 6-phosphate/sorbitol 3-phosphate
Linoleate metabolism	1	15	0.34233332577	E788	C00051	Glutathione; 5-L-Glutamyl-L-cysteinylglycine; N-(N-gamma-L-Glutamyl-L-cysteinyl)glycine; gamma-L-Glutamyl-L-cysteinyl-glycine; GSH; Reduced glutathione
Vitamin D3 (cholecalciferol) metabolism	0	3	0.349396345045			
C5-Branched dibasic acid metabolism	0	2	0.349396345045			
Vitamin B5 - CoA biosynthesis from pantothenate	0	4	0.349396345045			
Squalene and cholesterol biosynthesis	0	6	0.349396345045			
Electron transport chain	0	0	0.349396345045			
Blood Group Biosynthesis	0	5	0.349396345045			
Glycosphingolipid biosynthesis - lactoseries	0	5	0.349396345045			
3-oxo-10R-octadecatrienoate beta-oxidation	0	2	0.349396345045			
Vitamin B1 (thiamin) metabolism	0	2	0.349396345045			
Glycerolipid metabolism	0	0	0.349396345045			
Parathio degradation	0	0	0.349396345045			
Bile acid biosynthesis	0	6	0.349396345045			
Propanoate metabolism	0	3	0.349396345045			
Di-unsaturated fatty acid beta-oxidation	0	4	0.349396345045			
Vitamin B2 (riboflavin) metabolism	0	2	0.349396345045			
Vitamin H (biotin) metabolism	0	4	0.349396345045			
Vitamin A (retinol) metabolism	0	4	0.349396345045			
Glyoxylate and Dicarboxylate Metabolism	0	1	0.349396345045			
Glycosaminoglycan degradation	0	0	0.349396345045			
Vitamin E metabolism	0	7	0.349396345045			
Caffeine metabolism	0	2	0.349396345045			
Heparan sulfate biosynthesis	0	0	0.349396345045			
Lipoate metabolism	0	2	0.349396345045			
Omega-3 fatty acid metabolism	0	4	0.349396345045			
Mono-unsaturated fatty acid beta-oxidation	0	5	0.349396345045			
CoA Catabolism	0	3	0.349396345045			
Glycosphingolipid biosynthesis - neolactoseries	0	5	0.349396345045			
ROS Detoxification	0	0	0.349396345045			
Dynorphin metabolism	0	0	0.349396345045			
Vitamin D	0	0	0.349396345045			
Geraniol degradation	0	0	0.349396345045			
D4&E4-neuroprostanes formation	0	2	0.349396345045			
Keratan sulfate biosynthesis	0	3	0.349396345045			
TCA cycle	0	6	0.349396345045			
Sphingolipid metabolism	0	1	0.349396345045			
Benzoate degradation via CoA ligation	0	1	0.349396345045			
Dimethyl-branched-chain fatty acid mitochondrial beta-oxidation	0	1	0.349396345045			
Pentose and Glucuronate Interconversions	0	3	0.349396345045			
Vitamin B6 (pyridoxine) metabolism	0	2	0.349396345045			
Vitamin K metabolism	0	0	0.349396345045			
Proteoglycan biosynthesis	0	1	0.349396345045			
3-Chloroacrylic acid degradation	0	0	0.349396345045			
Atrazine degradation	0	0	0.349396345045			
Porphyrin metabolism	0	6	0.349396345045			
O-Glycan biosynthesis	0	3	0.349396345045			
Drug metabolism - other enzymes	0	2	0.349396345045			
Prostaglandin formation from dihomo gama-linoleic acid	0	0	0.349396345045			
Vitamin B12 (cyanocobalamin) metabolism	0	2	0.349396345045			
C21-steroid hormone biosynthesis and metabolism	0	4	0.349396345045			
Trihydroxycoprostanoyl-CoA beta-oxidation	0	0	0.349396345045			
Phytanic acid peroxisomal oxidation	0	3	0.349396345045			
1- and 2-Methylnaphthalene degradation	0	0	0.349396345045			
